========Insertion Sort========
Data Size,	CPU Time,	Number of Key Comparism
1000,	8697567,	249823
2000,	16084599,	1014048
3000,	35939583,	2294980
4000,	13764169,	3982619
5000,	10994507,	6240099
6000,	17655033,	8997017
7000,	24363310,	12300059
8000,	25520294,	15989311
9000,	28628969,	20222299
========MergeSort========
Data Size,	CPU Time,	Number of Key Comparism
1000,	1336696,	7981
2000,	749517,	17957
3000,	1224355,	29262
4000,	1526104,	39895
5000,	999660,	52145
6000,	1308170,	64721
7000,	1360409,	76128
8000,	1233471,	87801
9000,	5681892,	100830
