Dataset: Descending
Insertion Sort
Data Size,	CPU Time,	Number of Key Comparism
2000,	27489797,	1999000
8000,	54368224,	31996000
4000,	9265239,	7998000
6000,	21965853,	17997000
3000,	5835153,	4498500
1000,	1041524,	499500
9000,	40758477,	40495500
5000,	13425755,	12497500
7000,	25991508,	24496500
MergeSort
Data Size,	CPU Time,	Number of Key Comparism
2000,	1041225,	9888
8000,	1285017,	47552
4000,	594334,	21776
6000,	1169891,	34608
3000,	254808,	15804
1000,	69351,	4444
9000,	1485947,	53724
5000,	597394,	27756
7000,	1973666,	40724
