Dataset: Random
Insertion Sort
Data Size,	CPU Time,	Number of Key Comparism
1000,	9017483,	249823
2000,	9145068,	1014048
3000,	33215830,	2294980
4000,	12313252,	3982619
5000,	7764571,	6240099
6000,	12646159,	8997017
7000,	14237901,	12300059
8000,	17971883,	15989311
9000,	21299185,	20222299
MergeSort
Data Size,	CPU Time,	Number of Key Comparism
1000,	1033291,	7981
2000,	460278,	17957
3000,	1161231,	29262
4000,	1487666,	39895
5000,	669264,	52145
6000,	1217333,	64721
7000,	1389038,	76128
8000,	1061357,	87801
9000,	2579122,	100830
